DESCRIPTIO,SITE,SITEDESCRI,Category,
PLEQ-Basket swing,10619,Walter Massey Park,PLEQ-Basket swing,
PLEQ-Basket Swing,24041,Lake Town Green,PLEQ-Basket Swing,
PLEQ-Basket swing,22787,John Walker Park,PLEQ-Basket swing,
PLEQ-Basket swing,10520,Hamilton Estate Recreation Reserve,PLEQ-Basket swing,
PLEQ-Basket swing,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-Basket swing,
PLEQ-Basket swing set,23186,Clare Place Reserve,PLEQ-Basket swing set,
PLEQ-Basket swing-Large,10619,Walter Massey Park,PLEQ-Basket swing-Large,
PLEQ-Binoculars,11115,Opaketai Beach Haven Garden,PLEQ-Binoculars,
PLEQ-Blue Arch Bridge,11247,Warkworth Service Centre & Library Grou.,PLEQ-Blue Arch Bridge,
PLEQ-Blue Panel,11247,Warkworth Service Centre & Library Grou.,PLEQ-Blue Panel,
PLEQ-Boat Surround - Timber,20311,Northboro Reserve,PLEQ-Boat Surround - Timber,
PLEQ-Bounce buggy,20760,Harania/Marys Foreshore Reserve,PLEQ-Bounce buggy,
PLEQ-Bridge,21368,Hobsonville Point Park,PLEQ-Bridge,
PLEQ-Bridge,21863,Pin Oak Reserve,PLEQ-Bridge,
PLEQ-Bubble,11247,Warkworth Service Centre & Library Grou.,PLEQ-Bubble,
PLEQ-Chiron-Modern modular,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-Chiron-Modern modular,
PLEQ-Climber,22604,Ferry Rd/ Hawaiian Pde Junction,PLEQ-Climber,
PLEQ-Climber,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-Climber,
PLEQ-Climber - Spinner,20076,Hooton Reserve,PLEQ-Climber - Spinner,
PLEQ-Climber Wall,11096,Marlborough Park,PLEQ-Climber Wall,
PLEQ-Climber-Blue,11247,Warkworth Service Centre & Library Grou.,PLEQ-Climber-Blue,
PLEQ-Climber-Car,11088,Wairoa Road Reserve,PLEQ-Climber-Car,
PLEQ-Climber-Fixed,23359,Northcote Shops,PLEQ-Climber-Fixed,
PLEQ-Climber-Fixed,21368,Hobsonville Point Park,PLEQ-Climber-Fixed,
PLEQ-Climber-Fixed,11104,Hinemoa Park,PLEQ-Climber-Fixed,
PLEQ-Climber-Fixed,22423,Stillwater Reserve,PLEQ-Climber-Fixed,
PLEQ-Climber-Galaxy Youth,11143,Narrow Neck Beach,PLEQ-Climber-Galaxy Youth,
PLEQ-Climber-Galaxy Youth,10932,Meadowood Reserve,PLEQ-Climber-Galaxy Youth,
PLEQ-Climber-Rotating Rope,11033,Lindisfarne,PLEQ-Climber-Rotating Rope,
PLEQ-Climber-Tunnel,11088,Wairoa Road Reserve,PLEQ-Climber-Tunnel,
PLEQ-Climber-Yellow,11247,Warkworth Service Centre & Library Grou.,PLEQ-Climber-Yellow,
PLEQ-ClimberFixed,22189,Sapphire Reserve,PLEQ-ClimberFixed,
PLEQ-Climbing frame,21429,Sutton Park,PLEQ-Climbing frame,
PLEQ-Climbing frame,10167,Fairburn Reserve,PLEQ-Climbing frame,
PLEQ-climbing frame by playground,21933,Sandspit Reserve - Waiuku,PLEQ-climbing frame by playground,
PLEQ-Climbing Frame-22000,10383,Murphy Park,PLEQ-Climbing Frame-22000,
PLEQ-Climbing Frame-22001,22932,Mcshane Street Reserve,PLEQ-Climbing Frame-22001,
PLEQ-Climbing Frame-22001,22695,Kevan Lawrence Park,PLEQ-Climbing Frame-22001,
PLEQ-Climbing Frame-22002,22695,Kevan Lawrence Park,PLEQ-Climbing Frame-22002,
PLEQ-Climbing Frame-22006,20760,Harania/Marys Foreshore Reserve,PLEQ-Climbing Frame-22006,
PLEQ-Climbing handholds,24041,Lake Town Green,PLEQ-Climbing handholds,
PLEQ-climbing module,22240,Matakana Wharf Reserve,PLEQ-climbing module,
PLEQ-Climbing Module-pirate tower,11232,Algies Bay Reserve,PLEQ-Climbing Module-pirate tower,
PLEQ-Climbing poles,23186,Clare Place Reserve,PLEQ-Climbing poles,
PLEQ-Climbing Rail-Blue,11247,Warkworth Service Centre & Library Grou.,PLEQ-Climbing Rail-Blue,
PLEQ-Climbing Wall-Rock,11066,Kennedy Park,PLEQ-Climbing Wall-Rock,
PLEQ-Concrete Tunnel,10719,William Green Domain,PLEQ-Concrete Tunnel,
PLEQ-Concrete Tunnel,10719,William Green Domain,PLEQ-Concrete Tunnel,
PLEQ-Cresent spinner,22936,Macadamia Park (Melia Grove Reserve),PLEQ-Cresent spinner,
PLEQ-Cubby & Slide,20996,Malcolm Hahn Memorial Reserve,PLEQ-Cubby & Slide,
PLEQ-Cubby House,20888,Jean Sampson Reserve,PLEQ-Cubby House,
PLEQ-Cubby House,22009,Mairangi Bay Village Green,PLEQ-Cubby House,
PLEQ-double seater dolphin,22308,Warkworth Showgrounds,PLEQ-double seater dolphin,
PLEQ-Double slide,23186,Clare Place Reserve,PLEQ-Double slide,
PLEQ-Double slide,21933,Sandspit Reserve - Waiuku,PLEQ-Double slide,
PLEQ-Dynamo rotating climbing net,22359,Snells Beach (Sunrise Boulevard),PLEQ-Dynamo rotating climbing net,
PLEQ-Egg Spinner,10936,Collins Park,PLEQ-Egg Spinner,
PLEQ-Embankment Slide,10719,William Green Domain,PLEQ-Embankment Slide,
PLEQ-Embankment slide,21651,Boggust Park,PLEQ-Embankment slide,
PLEQ-Embankment Slide-Open,11247,Warkworth Service Centre & Library Grou.,PLEQ-Embankment Slide-Open,
PLEQ-Fire pit-Edge of bush behind p/grnd,10467,Omana Regional Park,PLEQ-Fire pit-Edge of bush behind p/grnd,
PLEQ-Fire Truck,10933,Kell Park,PLEQ-Fire Truck,
PLEQ-Fire truck on springs,20888,Jean Sampson Reserve,PLEQ-Fire truck on springs,
PLEQ-Firetruck,11247,Warkworth Service Centre & Library Grou.,PLEQ-Firetruck,
PLEQ-Flower shaped stepping pods,20888,Jean Sampson Reserve,PLEQ-Flower shaped stepping pods,
PLEQ-Flying Box-In Boat surround,10933,Kell Park,PLEQ-Flying Box-In Boat surround,
PLEQ-Flying Fox,20311,Northboro Reserve,PLEQ-Flying Fox,
PLEQ-Flying Fox,10927,Onepoto Domain,PLEQ-Flying Fox,
PLEQ-Flying Fox,11058,Okura Reserve,PLEQ-Flying Fox,
PLEQ-Flying fox,10591,Manukau Sports Bowl,PLEQ-Flying fox,
PLEQ-Flying Fox,20856,Taurus Crescent Reserve,PLEQ-Flying Fox,
PLEQ-Flying Fox,22359,Snells Beach (Sunrise Boulevard),PLEQ-Flying Fox,
PLEQ-Flying Fox,22739,Macleans Park,PLEQ-Flying Fox,
PLEQ-Flying Fox,11075,Totaravale Reserve,PLEQ-Flying Fox,
PLEQ-Flying Fox-Beach,11275,Stanmore Bay Park,PLEQ-Flying Fox-Beach,
PLEQ-Flying Fox-in swale NE of playgroun,22308,Warkworth Showgrounds,PLEQ-Flying Fox-in swale NE of playgroun,
PLEQ-Flying Fox-Parkhaven Dr side,20263,Parkhaven Reserve,PLEQ-Flying Fox-Parkhaven Dr side,
PLEQ-Flying Fox-S of main play area,20599,Red Beach Park,PLEQ-Flying Fox-S of main play area,
PLEQ-Fort & tunnel slide,10998,Devonport Domain,PLEQ-Fort & tunnel slide,
PLEQ-Frog sculpture,24041,Lake Town Green,PLEQ-Frog sculpture,
PLEQ-Galaxy polaris module,10687,Mountfort Park,PLEQ-Galaxy polaris module,
PLEQ-Hammock,10936,Collins Park,PLEQ-Hammock,
PLEQ-Hammock,10167,Fairburn Reserve,PLEQ-Hammock,
PLEQ-Hammock-Small black,11247,Warkworth Service Centre & Library Grou.,PLEQ-Hammock-Small black,
PLEQ-Hut with Tunnel,11247,Warkworth Service Centre & Library Grou.,PLEQ-Hut with Tunnel,
PLEQ-infant swing,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-infant swing,
PLEQ-Interactive play hut,22304,Bronzewing Reserve,PLEQ-Interactive play hut,
PLEQ-Jungle gym,21651,Boggust Park,PLEQ-Jungle gym,
PLEQ-Junior modular,10591,Manukau Sports Bowl,PLEQ-Junior modular,
PLEQ-Junior module,10619,Walter Massey Park,PLEQ-Junior module,
PLEQ-Kompan Apex(May16),24314,Mauku Reserve,PLEQ-Kompan Apex(May16),
PLEQ-Kompan multi spinner(May16),24314,Mauku Reserve,PLEQ-Kompan multi spinner(May16),
PLEQ-Large modular,23809,Pollok School Grounds,PLEQ-Large modular,
PLEQ-Large modular,20346,Hudsons Beach Recreation Reserve,PLEQ-Large modular,
PLEQ-Large modular,10467,Omana Regional Park,PLEQ-Large modular,
PLEQ-Large modular-mid of reserve,20907,Clavoy Park,PLEQ-Large modular-mid of reserve,
PLEQ-Log Hut,20351,Neptune Avenue Reserve,PLEQ-Log Hut,
PLEQ-Log Roll,21006,Wanita Reserve,PLEQ-Log Roll,
PLEQ-Log Roll,22167,Monarch Park,PLEQ-Log Roll,
PLEQ-Macrocarpa stepping logs,10520,Hamilton Estate Recreation Reserve,PLEQ-Macrocarpa stepping logs,
PLEQ-Mai Mai,10927,Onepoto Domain,PLEQ-Mai Mai,
PLEQ-Marble run,11115,Opaketai Beach Haven Garden,PLEQ-Marble run,
PLEQ-Medium Modular,10383,Murphy Park,PLEQ-Medium Modular,
PLEQ-Mini dome spinner,20833,Hanford Place Foreshore,PLEQ-Mini dome spinner,
PLEQ-Mini sprint/scooter track,22787,John Walker Park,PLEQ-Mini sprint/scooter track,
PLEQ-Moden Modular-Small,21392,Alice Park,PLEQ-Moden Modular-Small,
PLEQ-Modern modular,20434,Yates Park,PLEQ-Modern modular,
PLEQ-Modern modular,10619,Walter Massey Park,PLEQ-Modern modular,
PLEQ-Modern modular,10652,Omana Esplanade,PLEQ-Modern modular,
PLEQ-Modern modular,20660,Glenbrook Beach Beachfront,PLEQ-Modern modular,
PLEQ-Modern Modular,21759,Redcastle Park,PLEQ-Modern Modular,
PLEQ-Modern Modular (Large),21894,Roulston Park & Pioneer Cottage,PLEQ-Modern Modular (Large),
PLEQ-Modern Modular (Large)-22000,22989,North Road Reserve,PLEQ-Modern Modular (Large)-22000,
PLEQ-Modern Modular (Large)-22000,10825,Middlemore Park,PLEQ-Modern Modular (Large)-22000,
PLEQ-Modern Modular (Large)-22000,10687,Mountfort Park,PLEQ-Modern Modular (Large)-22000,
PLEQ-Modern Modular (Large)-22000,10710,Meadowland Park,PLEQ-Modern Modular (Large)-22000,
PLEQ-Modern Modular (Large)-22001,10623,Fergusson Oaks Reserve,PLEQ-Modern Modular (Large)-22001,
PLEQ-Modern Modular (Large)-22001,10563,Centennial Park - Waiuku,PLEQ-Modern Modular (Large)-22001,
PLEQ-Modern Modular (Large)-22002,22932,Mcshane Street Reserve,PLEQ-Modern Modular (Large)-22002,
PLEQ-Modern Modular (Large)-22003,20233,Derrimore Park,PLEQ-Modern Modular (Large)-22003,
PLEQ-Modern Modular (Large)-22004,22695,Kevan Lawrence Park,PLEQ-Modern Modular (Large)-22004,
PLEQ-Modern Modular (Small)-22001,21308,Anarahi Park,PLEQ-Modern Modular (Small)-22001,
PLEQ-Modern Modular (Small)-22001,10708,Mervan Street Reserve,PLEQ-Modern Modular (Small)-22001,
PLEQ-Modern Modular (Small)-22001,10710,Meadowland Park,PLEQ-Modern Modular (Small)-22001,
PLEQ-Modern modular-Tube slide,20263,Parkhaven Reserve,PLEQ-Modern modular-Tube slide,
PLEQ-Modular (medium),10383,Murphy Park,PLEQ-Modular (medium),
PLEQ-Modular junior,10596,Leabank Park,PLEQ-Modular junior,
PLEQ-Modular senior,10520,Hamilton Estate Recreation Reserve,PLEQ-Modular senior,
PLEQ-Modular Unit (Large),23021,Pukekohe Town Centre Grnds,PLEQ-Modular Unit (Large),
PLEQ-Module,22649,Bill Moir Reserve,PLEQ-Module,
PLEQ-Module - Large,10932,Meadowood Reserve,PLEQ-Module - Large,
PLEQ-module small-Plateau LEASED,11272,Martins Bay Grounds,PLEQ-module small-Plateau LEASED,
PLEQ-Module-Climber,20996,Malcolm Hahn Memorial Reserve,PLEQ-Module-Climber,
PLEQ-Module-Climber-Sthn Swing,11273,Orewa Reserve,PLEQ-Module-Climber-Sthn Swing,
PLEQ-Module-Junior climb slide & play,22359,Snells Beach (Sunrise Boulevard),PLEQ-Module-Junior climb slide & play,
PLEQ-Module-Junior small,22304,Bronzewing Reserve,PLEQ-Module-Junior small,
PLEQ-Module-Large,20697,Waldorf Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,22167,Monarch Park,PLEQ-Module-Large,
PLEQ-Module-Large,20073,Rothesay Bay Beach Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,20853,Luckens Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,20024,Silverdale War Memorial Park,PLEQ-Module-Large,
PLEQ-Module-Large,11075,Totaravale Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,21976,Shelter Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,21979,Hendrika Court,PLEQ-Module-Large,
PLEQ-Module-Large,21119,Rewi Alley Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,22237,Sandspit Reserve - Rodney,PLEQ-Module-Large,
PLEQ-Module-Large,22406,D'Oyly/Stanmore Bay Weir Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,22294,Lancelot Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,11210,Shoesmith Domain Recreation Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,11095,Elliott Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,22546,Tornado Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,10926,Shepherds Park,PLEQ-Module-Large,
PLEQ-Module-Large,11096,Marlborough Park,PLEQ-Module-Large,
PLEQ-Module-Large,11092,Browns Bay Beach Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,10936,Collins Park,PLEQ-Module-Large,
PLEQ-Module-Large,22152,Sherwood Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,21932,Ponderosa Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,22448,Campbells Beach Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,22148,Pukemateko Reserve Omaha South,PLEQ-Module-Large,
PLEQ-Module-Large,22374,Church Hill Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,11390,Hobsonville War Memorial,PLEQ-Module-Large,
PLEQ-Module-Large,11068,Milford Reserve,PLEQ-Module-Large,
PLEQ-Module-Large,22132,Cadness Loop,PLEQ-Module-Large,
PLEQ-Module-Large,11263,Victor Eaves Park,PLEQ-Module-Large,
PLEQ-Module-Large,11107,Little Shoal Bay Reserve - Northcote Pt,PLEQ-Module-Large,
PLEQ-Module-large house,23845,Swell Park,PLEQ-Module-large house,
PLEQ-Module-Large-Boat Shape,20303,Montgomery Reserve,PLEQ-Module-Large-Boat Shape,
PLEQ-Module-Large-Boat-Nthn Boat,11273,Orewa Reserve,PLEQ-Module-Large-Boat-Nthn Boat,
PLEQ-Module-Large-Stand Alone Items,11213,Rautawhiri Park,PLEQ-Module-Large-Stand Alone Items,
PLEQ-Module-Large-Track Ride,11099,Tamahere Reserve,PLEQ-Module-Large-Track Ride,
PLEQ-Module-Large-With Tunnel Slide,10927,Onepoto Domain,PLEQ-Module-Large-With Tunnel Slide,
PLEQ-Module-Medium,11208,Puhoi Pioneer's Memorial Park Domain,PLEQ-Module-Medium,
PLEQ-Module-Medium,22351,Amanda Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,21906,Unsworth Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20006,Normanton Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,11088,Wairoa Road Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22181,Park Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22414,Kaipara Crescent Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,21891,Taroka Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,11222,Bourne Dean Recreation Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22562,Starlight Park,PLEQ-Module-Medium,
PLEQ-Module-Medium,22162,Point Wells Community Centre,PLEQ-Module-Medium,
PLEQ-Module-Medium,11138,Kaipatiki Park,PLEQ-Module-Medium,
PLEQ-Module-Medium,22218,Windy Ridge Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22275,Fernwood Grove,PLEQ-Module-Medium,
PLEQ-Module-Medium,11296,Edith Hopper Park,PLEQ-Module-Medium,
PLEQ-Module-Medium,22134,William Fraser Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20539,Regency Park Drive Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22412,Shadon/Springtime Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22235,Fields Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,11261,Tapora Recreation Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,21069,Leiden Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,21094,Northcroft Esplanade Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22103,Wharf Reserve - Albany,PLEQ-Module-Medium,
PLEQ-Module-Medium,20695,Marina View Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20838,Highgrove Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22398,Helensville Civic Centre Grounds,PLEQ-Module-Medium,
PLEQ-Module-Medium,22255,Matheson Bay Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20661,Maygrove Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20518,Manly Park,PLEQ-Module-Medium,
PLEQ-Module-Medium,22360,Sunburst Reserve & Tamatea Espl,PLEQ-Module-Medium,
PLEQ-Module-Medium,20051,Huntly Road Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,23516,Whangateau Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22461,Sunny Crescent - Merlot Heights Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22264,Excelsior Way Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22367,Te Hana Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20076,Hooton Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,10925,Stafford Park,PLEQ-Module-Medium,
PLEQ-Module-Medium,20057,Island Bay Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22098,Cairnbrae Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,11298,Harry James Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,21006,Wanita Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20602,Rosario Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20653,Totara Views Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22418,Weiti Views Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,12940,Stredwick Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20052,Castor Bay Beach Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,11211,Wellsford Centennial Park,PLEQ-Module-Medium,
PLEQ-Module-Medium,11087,Stanley Bay Park,PLEQ-Module-Medium,
PLEQ-Module-Medium,22668,Millwater Park Playground Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,11141,Bayswater Park,PLEQ-Module-Medium,
PLEQ-Module-Medium,20956,Knightsbridge Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20372,Kawerau Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,10933,Kell Park,PLEQ-Module-Medium,
PLEQ-Module-Medium,23654,Major Henry Greens,PLEQ-Module-Medium,
PLEQ-Module-Medium,21045,Everard Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22250,Bushlands Park,PLEQ-Module-Medium,
PLEQ-Module-Medium,20468,Gulf Harbour Recreation Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22239,Woodridge Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20075,Manuka Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22027,Inwards Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,20207,Northwood Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22401,Hardley Reserve,PLEQ-Module-Medium,
PLEQ-Module-Medium,22474,"Te Moau Rsv & River Espl, Parakai Av",PLEQ-Module-Medium,
PLEQ-Module-Medium,23311,Belmont Rose Gardens,PLEQ-Module-Medium,
PLEQ-Module-Medium LEASED,11272,Martins Bay Grounds,PLEQ-Module-Medium LEASED,
PLEQ-Module-Medium-Boat,22512,Christmas Beach,PLEQ-Module-Medium-Boat,
PLEQ-Module-Medium-Climber,22183,Pemberton Reserve,PLEQ-Module-Medium-Climber,
PLEQ-Module-Medium-Climber,11033,Lindisfarne,PLEQ-Module-Medium-Climber,
PLEQ-Module-Medium-Firestation,11246,Shelly Beach Reserve,PLEQ-Module-Medium-Firestation,
PLEQ-Module-Medium-Fort,20007,Windsor Reserve,PLEQ-Module-Medium-Fort,
PLEQ-Module-Medium-Ground Mounted,22152,Sherwood Reserve,PLEQ-Module-Medium-Ground Mounted,
PLEQ-Module-Medium-HolidayPk,11273,Orewa Reserve,PLEQ-Module-Medium-HolidayPk,
PLEQ-Module-Medium-Jnr,20569,Gilshennan Reserve,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,11201,Huapai Recreation Reserve,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,11201,Huapai Recreation Reserve,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,22175,Port Albert Wharf Reserve,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,11213,Rautawhiri Park,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,20053,Parkwood Reserve,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,20846,Belle Verde Reserve,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,22471,Muriwai Beach Playground (DOC),PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,11064,Bond Reserve - Forrest Hill,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,22165,Point Wells Foreshore Reserve,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,11323,Parakai Recreation Reserve,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,22009,Mairangi Bay Village Green,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,11302,Manuhiri Reserve,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,22125,Cranston Street Reserve,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr,22301,Bluebird Reserve,PLEQ-Module-Medium-Jnr,
PLEQ-Module-Medium-Jnr-Comm Centre,11072,Sunnynook Park,PLEQ-Module-Medium-Jnr-Comm Centre,
PLEQ-Module-Medium-Jnr-Tonkin Drive,11072,Sunnynook Park,PLEQ-Module-Medium-Jnr-Tonkin Drive,
PLEQ-Module-Medium-Leisure P/grd,11275,Stanmore Bay Park,PLEQ-Module-Medium-Leisure P/grd,
PLEQ-Module-Medium-Main,11272,Martins Bay Grounds,PLEQ-Module-Medium-Main,
PLEQ-Module-Medium-Medium-Sth Playgrd,22606,Chatham Hill Reserve,PLEQ-Module-Medium-Medium-Sth Playgrd,
PLEQ-Module-Medium-Sand Play-Jnr area Be,11275,Stanmore Bay Park,PLEQ-Module-Medium-Sand Play-Jnr area Be,
PLEQ-Module-Medium-Sandplay,20311,Northboro Reserve,PLEQ-Module-Medium-Sandplay,
PLEQ-Module-Medium-Skate Slide-Middle Sn,11273,Orewa Reserve,PLEQ-Module-Medium-Skate Slide-Middle Sn,
PLEQ-Module-Medium-Snr,22471,Muriwai Beach Playground (DOC),PLEQ-Module-Medium-Snr,
PLEQ-Module-Medium-Snr,11205,Riverhead War Memorial Park,PLEQ-Module-Medium-Snr,
PLEQ-Module-Medium-Snr,11392,Herald Island Domain,PLEQ-Module-Medium-Snr,
PLEQ-Module-Medium-Snr,11064,Bond Reserve - Forrest Hill,PLEQ-Module-Medium-Snr,
PLEQ-Module-Medium-Snr-Beach,11246,Shelly Beach Reserve,PLEQ-Module-Medium-Snr-Beach,
PLEQ-Module-Medium-Spinner-Middle Snr,11273,Orewa Reserve,PLEQ-Module-Medium-Spinner-Middle Snr,
PLEQ-Module-Medium-Spinner-Middle Snr,11273,Orewa Reserve,PLEQ-Module-Medium-Spinner-Middle Snr,
PLEQ-Module-Medium-With 1 Bay Swing,20885,Portsea Reserve,PLEQ-Module-Medium-With 1 Bay Swing,
PLEQ-Module-Medium-With Track Ride,20749,Jamie Hansen Park,PLEQ-Module-Medium-With Track Ride,
PLEQ-Module-Medium-With Track Ride,20496,Brandon Reserve - Manly,PLEQ-Module-Medium-With Track Ride,
PLEQ-Module-Noughts & Crosses,22098,Cairnbrae Reserve,PLEQ-Module-Noughts & Crosses,
PLEQ-Module-Noughts & Crosses-SE cnr rsv,22477,"Huapai Riverbank,Service Centre,",PLEQ-Module-Noughts & Crosses-SE cnr rsv,
PLEQ-Module-Sand play,20051,Huntly Road Reserve,PLEQ-Module-Sand play,
PLEQ-Module-Slide-Tunnel,11205,Riverhead War Memorial Park,PLEQ-Module-Slide-Tunnel,
PLEQ-Module-Small,22445,Baddeleys Beach Reserve,PLEQ-Module-Small,
PLEQ-Module-Small,22107,Heath Reserve,PLEQ-Module-Small,
PLEQ-Module-Small,11087,Stanley Bay Park,PLEQ-Module-Small,
PLEQ-Module-Small,22074,Bayside Drive,PLEQ-Module-Small,
PLEQ-Module-Small,22135,Cadness Reserve,PLEQ-Module-Small,
PLEQ-Module-Small,21090,Nile Reserve (Milford),PLEQ-Module-Small,
PLEQ-Module-Small,21073,Linwood Reserve,PLEQ-Module-Small,
PLEQ-Module-Small,22229,Fernhill Reserve,PLEQ-Module-Small,
PLEQ-Module-Small,21847,Wentworth Park,PLEQ-Module-Small,
PLEQ-Module-Small - Apollo Senior,21909,Oak Park,PLEQ-Module-Small - Apollo Senior,
PLEQ-Module-Small boat bow-Nthn Boat,11273,Orewa Reserve,PLEQ-Module-Small boat bow-Nthn Boat,
PLEQ-Module-Small-Boat,22423,Stillwater Reserve,PLEQ-Module-Small-Boat,
PLEQ-Module-Small-Climber spinner,23464,Sunnynook Square,PLEQ-Module-Small-Climber spinner,
PLEQ-Module-Small-clock tower Junior,21909,Oak Park,PLEQ-Module-Small-clock tower Junior,
PLEQ-Module-Small-Jnr,21368,Hobsonville Point Park,PLEQ-Module-Small-Jnr,
PLEQ-Module-Small-Jnr,20599,Red Beach Park,PLEQ-Module-Small-Jnr,
PLEQ-Module-Small-Jnr,11392,Herald Island Domain,PLEQ-Module-Small-Jnr,
PLEQ-Module-Small-Jnr,20413,Brunton Park Reserve,PLEQ-Module-Small-Jnr,
PLEQ-Module-Small-Jnr,11075,Totaravale Reserve,PLEQ-Module-Small-Jnr,
PLEQ-Module-Small-Jnr,21932,Ponderosa Reserve,PLEQ-Module-Small-Jnr,
PLEQ-Module-Small-Jnr,22308,Warkworth Showgrounds,PLEQ-Module-Small-Jnr,
PLEQ-Module-Small-Jnr,22524,Connemara Reserve,PLEQ-Module-Small-Jnr,
PLEQ-Module-Small-Jnr,10960,Achilles Crescent Reserve,PLEQ-Module-Small-Jnr,
PLEQ-Module-Small-Jnr,11274,Whangateau Holiday Park Grounds,PLEQ-Module-Small-Jnr,
PLEQ-Module-Small-Jnr,20207,Northwood Reserve,PLEQ-Module-Small-Jnr,
PLEQ-Module-Small-Jnr-Beach,11246,Shelly Beach Reserve,PLEQ-Module-Small-Jnr-Beach,
