DESCRIPTIO,SITE,SITEDESCRI,Category,
FITN-Leg Swing. Next To Footpath,10514,Wellington Street Reserve - Pukekohe,Leg Swing,
FITN-LegPress-furtherest from road,10889,Howick Domain,LegPress,
FITN-Legs&abs-1 of 5 frm Finlayson Ave,21661,Burundi Ave Foreshore,Legs&abs,
FITN-Legs&arms-3 of 5 frm Finlayson Ave,21661,Burundi Ave Foreshore,Legs&arms,
FITN-Log jump opp 79 Roberts Ave,11141,Bayswater Park,Log jump,
FITN-Opp cemetery entry-Vault bar,11141,Bayswater Park,Fitness device,
FITN-Opp cemetery-pull up bars,11141,Bayswater Park,Fitness device,
FITN-OverheadPress-3rd from Kilkenny Dr,22782,Logan Carr Reserve,Overhead press,
FITN-Pull down exerciser/cycle(North),10926,Shepherds Park,Pull down exerciser,
FITN-Pullup bar-By path E old depot,10926,Shepherds Park,Pullup bar,
FITN-Pullup bar-In trees W socc fld,10926,Shepherds Park,Pullup bar,
FITN-Roman Chair,21964,Rook Reserve,Roman Chair,
FITN-Roman Chair (FE08)-Beside cycleway,10931,Rosedale Park,Roman Chair,
FITN-Rowing Machine-Behind Tennis Courts,10710,Meadowland Park,Rowing Machine,
FITN-Rowing. Next To Footpath,10514,Wellington Street Reserve - Pukekohe,Rowing,
FITN-Shoulder wheel/cross trainer(South),10926,Shepherds Park,Shoulder wheel,
FITN-Sit Ups-Closest To Meadowlands Dr,10710,Meadowland Park,Sit Ups,
FITN-Stair Climber. Henry Curd Entrance,10514,Wellington Street Reserve - Pukekohe,FITN-Stair Climber. Henry Curd Entrance,
FITN-Step ups-E of fitness stations,11107,Little Shoal Bay Reserve - Northcote Pt,Step ups,
FITN-Step ups-W of fitness stations,11107,Little Shoal Bay Reserve - Northcote Pt,Step ups,
FITN-Step-up opp 83 Roberts Ave,11141,Bayswater Park,Step-up,
FITN-Tricep dip bars,20776,Growers Stadium & Stadium No. 2,Tricep dip bars,
FITN-Tricep Ext - Next To Clubrooms,10710,Meadowland Park,Tricep Ext,
FITN-Twister Arm Press-Opp 9 Council Tce,11107,Little Shoal Bay Reserve - Northcote Pt,Twister Arm Press,
Fitness combination 1,10396,Mt Albert War Memorial Reserve,Fitness device,
Fitness combination 2,10396,Mt Albert War Memorial Reserve,Fitness device,
Fitness combination 3,10396,Mt Albert War Memorial Reserve,Fitness device,
Fitness combination 4,10396,Mt Albert War Memorial Reserve,Fitness device,
Fitness Equip-adjacent to timber bridge,10510,Reynolds Road Reserve,Fitness device,
Fitness Equip-behind 36 Edward Court,10510,Reynolds Road Reserve,Fitness device,
Fitness equipment,10020,Panmure Basin,Fitness device,
Fitness equipment,10020,Panmure Basin,Fitness device,
Fitness Equipment #1-cross trainer,10383,Murphy Park,Cross trainer,
Fitness Equipment #2-hip flexor/chin ups,10383,Murphy Park,Hip flexor/chin ups,
Fitness Equipment #3-Stationary bike,10383,Murphy Park,Stationary bike,
Fitness Equipment-Balancing Bar,10510,Reynolds Road Reserve,Balancing Bar,
Fitness Station,11393,Henderson Park - Henderson,Fitness Station,
Fitness Station,11393,Henderson Park - Henderson,Fitness Station,
Fitness Station,11393,Henderson Park - Henderson,Fitness Station,
Fitness Station,11420,Starling Park,Fitness Station,
Fitness Station 1 Hurdle,10034,May Road War Memorial Park,Fitness Station - Hurdle,
Fitness Station 3 Hurdles,10034,May Road War Memorial Park,Fitness Station - Hurdle,
Fitness Station 5 Rung Ladder,10034,May Road War Memorial Park,Fitness Station - Rung Ladder,
Fitness Station Balance Log,10034,May Road War Memorial Park,Fitness Station Balance Log,
Fitness Station Balance Logs,10034,May Road War Memorial Park,Fitness Station Balance Log,
Fitness Station behind baseball diamond,10034,May Road War Memorial Park,Fitness Station,
Fitness Station Cycle Strider,10034,May Road War Memorial Park,Fitness Station Cycle Strider,
Fitness Station Cycle Strider,10034,May Road War Memorial Park,Fitness Station Cycle Strider,
Fitness Station Horse Rider,10034,May Road War Memorial Park,Fitness Station Horse Rider,
Fitness Station Jump Touch,10034,May Road War Memorial Park,Fitness Station Jump Touch,
Fitness Station Monkey Bars,10034,May Road War Memorial Park,Fitness Station Monkey Bars,
Fitness Station Rad41,10356,Western Park - Freemans Bay,Fitness Station,
Fitness Station Rad42,10356,Western Park - Freemans Bay,Fitness Station,
Fitness Station Rad43,10356,Western Park - Freemans Bay,Fitness Station,
Fitness Station Rad44,10356,Western Park - Freemans Bay,Fitness Station,
Fitness Station Rad45,10356,Western Park - Freemans Bay,Fitness Station,
Fitness Station Rad46,10356,Western Park - Freemans Bay,Fitness Station,
Fitness Station Rad48,10356,Western Park - Freemans Bay,Fitness Station,
Fitness Station Rad49,10265,Coxs Bay Reserve,Fitness Station,
Fitness Station Rad50,10265,Coxs Bay Reserve,Fitness Station,
Fitness Station Rad51,10265,Coxs Bay Reserve,Fitness Station,
Fitness Station Rad52,10265,Coxs Bay Reserve,Fitness Station,
Fitness Station Rad53,10265,Coxs Bay Reserve,Fitness Station,
Fitness Station Rad62,10394,Fowlds Park,Fitness Station,
Fitness Station Rad63,10394,Fowlds Park,Fitness Station,
Fitness Station Rad64,10394,Fowlds Park,Fitness Station,
Fitness Station Rad65,10394,Fowlds Park,Fitness Station,
Fitness Station Rad66,10394,Fowlds Park,Fitness Station,
Fitness Station Rad67,10394,Fowlds Park,Fitness Station,
Fitness Station Rad68,10394,Fowlds Park,Fitness Station,
Fitness Station Rad69,10394,Fowlds Park,Fitness Station,
Fitness Station Rad70,10394,Fowlds Park,Fitness Station,
